title,artist,id,source,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Crystals,Of Monsters And Men,5sPS26YvtzEbBCHnEtqQAq,N,0.603,0.703,0.0304,0.00117,0.652,0.121,0.254,132.107,6
Come To Mama,Lady Gaga,3j3pLudjSCN0kaXH0YCps8,N,0.695,0.643,0.0795,0.125,0.000128,0.0224,0.886,102.851,1
What Am I,Why Don'T We,4bnjq8zqtCnxTGxll5ezOO,N,0.551,0.773,0.101,0.0673,3.39e-05,0.0511,0.649,90.003,1
Be Right There,Diplo,02hnKrZkgKZkclzMrPwPRw,N,0.419,0.902,0.161,0.0865,0.000989,0.34,0.469,145.009,0
Merry Christmas Darling,Christina Perri,6W65jVdn0JtttcvFN1KppC,N,0.363,0.338,0.0283,0.732,0.0,0.132,0.134,81.595,5
I'Ll Take You On,Brockhampton,7sxTjnPqokxnHlLrZorBK7,N,0.81,0.631,0.128,0.138,0.000945,0.0762,0.475,102.043,1
We Dem Boyz,Wiz Khalifa,72EngNlhSiPugQCQniZ0fY,N,0.698,0.868,0.0582,0.0104,0.0,0.343,0.378,130.031,0
Free Spirit,Drake,7D6koFGnIjh4Dwk9AOdxdU,N,0.641,0.0691,0.0497,0.222,0.905,0.137,0.284,147.919,6
State Of Emergency,Logic,2ZomYJ3be6cfye1shw4TCd,N,0.644,0.757,0.268,0.000466,0.0886,0.624,0.301,150.282,3
Wash Us In The Blood,Kanye West,4eARRF0TmKM3geH6vPg7Js,N,0.52,0.621,0.345,0.205,2.3e-06,0.0992,0.366,157.699,4
Simple Things,Nas,2zDjtJLLGKX4GbIQFzKAOY,N,0.736,0.863,0.0689,0.00872,0.0154,0.0596,0.607,99.997,1
Crown The Kings,Migos,0M9ydKzuF3oZTfYYPfaGX1,N,0.926,0.666,0.244,0.0611,0.0,0.123,0.168,127.079,4
Champagne Problems,Taylor Swift,0zn1oYv6avs4pw4hfELmB7,N,0.434,0.151,0.0514,0.993,0.936,0.11,0.14,170.023,2
Before I Close My Eyes,Xxxtentacion,63utakUAwjrSRsMG0DFRBH,N,0.55,0.122,0.0376,0.99,0.929,0.114,0.7,105.269,2
Look At Me!,Xxxtentacion,1m5HcIPX2T3wSoiHWhgwpA,N,0.735,0.58,0.341,0.0372,0.0,0.153,0.253,139.065,4
Detention,Melanie Martinez,2BtLL5NgbDjYv30vKdLK19,N,0.833,0.655,0.0726,0.496,0.0,0.077,0.752,94.981,1
East Atlanta Love Letter,6Lack,3Q33RhbyoFul9LdKKjticI,N,0.397,0.257,0.0499,0.79,0.00235,0.12,0.0382,115.783,5
Nervous,Famous Dex,1KauTvLzJb1rV7S6o9Eeql,N,0.75,0.567,0.428,0.0173,0.0,0.147,0.458,157.028,4
Elon Musk,Ddg,45hgqXjx0fnip2DQvF23dx,N,0.832,0.589,0.0541,0.396,6.62e-06,0.152,0.578,140.017,1
Misunderstood,Pnb Rock,3DkSirQyz93TaxZ0f0DloI,N,0.411,0.523,0.259,0.754,0.0,0.137,0.532,81.793,5
Cinderella Story,A Boogie Wit Da Hoodie,5m9sW9zAGdIwzY4Kyu0WdR,N,0.86,0.16,0.0772,0.996,0.952,0.112,0.903,114.998,2
Let Me Know,Kodak Black,6XmuO9aBU5Fnu7ejdLOiwe,N,0.761,0.718,0.363,0.0087,0.0,0.117,0.537,72.954,4
Eazy  Him & I,G,7MxjKoJgKIxZ0f2gCQBW6W,N,0.702,0.798,0.0358,0.00451,0.835,0.34,0.0977,116.005,6
Early Morning Trappin,Rich The Kid,6excfi52hCKksRlRt55VH2,N,0.859,0.461,0.404,0.074,0.0,0.111,0.337,83.992,4
Run Rudolph Run  Single Version,Chuck Berry,3JBreLq6ooM8qydZXAIdQx,N,0.397,0.946,0.0331,0.075,1.14e-06,0.89,0.953,154.222,3
Go Part 1,Polo G,3UnYMo1aeD0o8VtHy3R8cs,N,0.822,0.35,0.574,0.0213,0.0,0.0757,0.346,77.528,4
Lookin Exotic,Future,1ryWdSTZQIrBOp5Bm9UWZt,N,0.846,0.821,0.172,0.0509,0.183,0.106,0.548,110.989,1
Talk Of The Town,Jack Harlow,644ysZyhy3ayBapeJxy01j,N,0.776,0.624,0.337,0.247,0.0,0.124,0.462,146.076,4
High Without Your Love,Loote,7F7gPb5h3CMqcS1SIZvqkY,N,0.869,0.492,0.0752,0.125,0.0,0.132,0.766,102.002,1
Steps,Handsome Ghost,5Ij8tiMdJtOTuBvYFSPQ2w,N,0.726,0.565,0.0822,0.0277,0.0,0.0971,0.393,137.003,0
Drop,Yo Gotti,08V9Lvq19LbR3IlgL2AYXv,N,0.661,0.806,0.437,0.0163,0.0,0.117,0.475,121.216,4
Lemonade,Internet Money,5sBplhIrmzA4kQGyIOpmDf,N,0.832,0.549,0.0602,0.168,0.0,0.11,0.384,140.045,0
Sleigh Ride,Carpenters,4ukUoXLuFzMixyZyabSGc4,N,0.508,0.287,0.0523,0.764,0.0,0.153,0.644,154.759,5
Dynamite,Nause,5x4C0abHeP5IWmc4CAGmrc,N,0.365,0.0911,0.0464,0.993,0.89,0.127,0.247,72.459,2
Perplexing Pegasus,Rae Sremmurd,2MvvJqwrrugpi31s77YHRA,N,0.899,0.456,0.0589,0.000574,2.54e-05,0.331,0.299,145.966,0
Descending,Tool,0pwObEOHolQZSldJ2q1wpy,N,0.286,0.728,0.0616,0.000174,0.836,0.133,0.467,171.441,6
Life After Salem,Lil Nas X,1ZwfLPG0QcFkhE0jKPDhZU,N,0.349,0.623,0.0881,0.756,0.0,0.433,0.248,85.745,5
Elastic Heart,Sia,6x0ex5urwhqB3AYLREVRUd,N,0.419,0.764,0.0555,0.0538,0.0,0.135,0.474,130.121,0
Ruin My Life,Zara Larsson,0Fc9QSMX6fgEBgDjUax7t7,N,0.723,0.837,0.0389,0.0103,0.000477,0.0834,0.643,123.952,1
Santa Tell Me,Ariana Grande,7rQpURVD1Uqfp4gpGnoLuO,N,0.562,0.726,0.0266,0.00678,0.888,0.111,0.302,95.995,6
On,Bts,0U4hNZFJYNFdEAXZcHbkkc,N,0.577,0.811,0.117,0.111,0.0,0.346,0.456,105.966,0
Peepin Out The Blinds,Gucci Mane,3EWJVuVgYBk0cmx9B0Lgex,N,0.717,0.492,0.0645,0.625,0.0,0.11,0.774,120.057,1
Young Man,Justin Timberlake,3Y7okYdPQivgcNhB7dAgG9,N,0.572,0.614,0.467,0.261,0.00198,0.436,0.453,158.366,4
Come Thru,Trouble,3RoCi49XvcidDK7OqGw7fb,N,0.872,0.623,0.0389,0.41,0.0,0.184,0.72,104.07,1
Brazil,Declan Mckenna,5QJuMhGWTUB4t9BqR7ndL3,N,0.491,0.666,0.0317,0.00146,1.29e-06,0.104,0.26,125.041,0
Tik Tok,Kesha,3LUWWox8YYykohBbHUrrxd,N,0.736,0.817,0.0407,0.00987,0.00167,0.117,0.653,119.95,1
Phantom Regret By Jim,The Weeknd,5LvK8z69OPlVaOWU6JHfRJ,N,0.394,0.519,0.0465,0.75,0.195,0.129,0.241,110.113,5
182  Sober,Blink,6WkSUgo1VdpzgtiXKlFPcY,N,0.426,0.972,0.0954,0.0017,0.0,0.171,0.341,111.221,0
Sugar,Brockhampton,66dQdXAbtuPdSasezCQVZE,N,0.497,0.55,0.0257,0.847,0.049,0.119,0.542,79.955,5
Budapest,George Ezra,4HqU80xAozomP0XtgxAu6w,N,0.678,0.291,0.0437,0.818,6.08e-05,0.706,0.497,121.092,3
All Summer Long,Kid Rock,32rHadAy6b8xYgSq22C0r8,N,0.7,0.864,0.0283,0.0212,0.0,0.0956,0.887,102.997,1
Young Dumb & Broke,Khalid,28rT3OwXdw4VF1MPYIk1P6,N,0.831,0.531,0.145,0.2,0.000356,0.107,0.471,146.391,1
Sad Girlz Luv Money Remix,Amaarae,5lYLBAH2uSvERWy8GAcBJz,N,0.774,0.579,0.0699,0.343,0.0,0.131,0.418,92.399,1
Sinister,Cordae,7z3rc7SCgjbAztt1cbXkVj,N,0.841,0.433,0.175,0.0344,2.13e-06,0.121,0.332,115.868,4
Shape Of You  Galantis Remix,Ed Sheeran,54SMw8TnDcuieolVRXBmni,N,0.53,0.92,0.0734,0.0255,0.0,0.168,0.738,191.977,0
Mine,Bazzi,6HCDMQZMIa14cCb6mQkLEo,N,0.62,0.672,0.233,0.0472,0.0,0.086,0.504,142.859,4
Rainbow,Kacey Musgraves,30VHURM5NOfoZmqp2iKawS,N,0.689,0.614,0.0306,0.252,1.95e-05,0.178,0.411,141.97,0
"Enjoy Right Now, Today","Tyler, The Creator",6HDJKC7XvB0NDSmNtHdcNL,N,0.791,0.804,0.0447,0.502,0.0,0.442,0.705,99.993,1
Feelings,Maroon 5,0r7CVbZTWZgbTCYdfa2P31,N,0.726,0.815,0.0373,0.0724,0.00421,0.357,0.693,99.972,1
Champion,Dababy,2YRx8jviX9HnvxD0uDIOma,N,0.314,0.634,0.0344,0.0207,7.52e-05,0.687,0.172,143.992,3
Morning Light,Justin Timberlake,0owMmMqkYKJ4g6UcaH5Pho,N,0.593,0.505,0.0257,0.0329,0.00196,0.194,0.139,139.941,0
Just A Waste,Pinkpantheress,26AmP3ukYC4Zs9lSGlh55I,N,0.573,0.66,0.0609,0.173,0.149,0.111,0.461,172.072,0
...Baby One More Time,Britney Spears,0kDYa8nqIIpsAZ8FctJyGQ,N,0.759,0.649,0.0306,0.197,0.000313,0.449,0.912,92.966,1
Dr. Suess,Ski Mask The Slump God,7KMi67SvcUC1rTfCqNXzoN,N,0.75,0.776,0.249,0.226,0.0,0.355,0.519,130.066,4
Banded Up,Ronny J,7JZAkIzTNPV9Wd4a4sDdiN,N,0.613,0.651,0.0305,0.566,0.685,0.125,0.857,80.976,6
Like Real People Do,Hozier,4pCvaD8i0KBlJnwuvvx4pM,N,0.584,0.168,0.0283,0.889,2.79e-05,0.121,0.157,140.052,5
Wish  Trippie Mix,Diplo,6cUHiQEECDl5m3WFGQ1GCR,N,0.756,0.698,0.178,0.0849,0.0,0.221,0.66,77.497,1
Polaroid,Imagine Dragons,09fsxyy179DPzPuE7rBfOG,N,0.821,0.41,0.0678,0.497,3.91e-05,0.116,0.365,105.007,5
I See Fire,Ed Sheeran,0YtaACxywTb83D4Cq09eKs,N,0.678,0.176,0.0333,0.941,0.922,0.109,0.326,151.983,2
You Right,Doja Cat,4rmwWGh87KY0ouByBEh1zC,N,0.837,0.567,0.0649,0.0158,0.00139,0.118,0.502,129.001,1
Answer : Love Myself,Bts,7kUQTTXyfQehPumtGpQdLJ,N,0.789,0.652,0.324,0.139,0.0,0.0859,0.602,152.016,4
Guwop,Young Thug,7zjEyeBsaw9gV0jofJLfOM,N,0.767,0.313,0.0798,0.838,0.0,0.105,0.765,82.582,5
Highest In The Room,Travis Scott,3G1nROoK7883I7WKBIATTw,N,0.605,0.408,0.0334,0.0573,7.47e-06,0.199,0.0642,76.553,0
Let Me Explain,Bryson Tiller,7A6lTWrijRUGwIQS1TJJBC,N,0.815,0.514,0.313,0.174,0.0,0.104,0.461,113.937,4
You!,Lany,5OS4MreH8uF98w8AYiLBKv,N,0.263,0.769,0.0603,0.00533,5.04e-05,0.426,0.122,188.077,0
Fade Away,Logic,2yfJsoJ34dO53bpNF3NJOF,N,0.497,0.795,0.247,0.261,0.0142,0.293,0.598,79.116,1
